id,match,date,team_a,team_b,shooting_team,half,minute,score_shoot_goals,score_shoot_points,score_opp_goals,score_opp_points,score_diff,set_piece_type,shooter,position_zone,attempt_type,striking_side,under_pressure,outcome,notes
1,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,1,3.0,0,1,0,1,0,free,Horgan 13,F3CL,direct,dominant,none,point,
2,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,1,11.0,0,2,0,4,-2,free,McCarthy 13,F3CL,direct,dominant,none,point,
3,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,1,14.0,0,4,0,4,0,free,Keeper,F5R,long,dominant,none,retained,
4,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,1,16.0,0,4,0,6,-2,free,McCarthy 13,F3R,direct,dominant,none,point,
5,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,1,17.0,0,5,0,7,-2,sideline,,F5L,short,dominant,none,retained,
6,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,1,18.0,0,5,0,7,-2,free,Keeper,F5L,long,dominant,none,lost,
7,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,1,20.0,0,7,0,6,1,free,Horgan 13,F3CR,direct,dominant,none,point,
8,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,1,25.0,0,11,0,8,3,free,Horgan 13,F3R,direct,dominant,none,point,
9,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,1,26.0,0,12,0,8,4,free,Dalton 12,F5CR,direct,dominant,none,point,
10,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,1,27.0,0,8,0,13,-5,free,McCarthy,F3R,direct,dominant,none,point,
11,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,1,32.0,0,11,0,16,-5,free,McCarthy 13,F3CL,direct,dominant,none,point,
12,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,1,33.0,0,12,0,16,-4,free,Gordon 3,F5CR,long,dominant,none,lost,
13,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,1,34.0,0,16,0,12,4,free,Keeper,F5CR,long,dominant,none,retained,
14,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,1,36.0,0,12,0,16,-4,free,,F5CR,long,dominant,none,retained,
15,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,1,37.0,1,16,0,13,6,free,Horgan 13,F4CR,direct,dominant,none,wide,
16,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,1,57.0,2,21,1,17,7,free,,F5CL,long,dominant,none,lost,
17,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,2,39.0,0,15,1,16,-4,free,Keeper,F5L,long,dominant,none,lost,
18,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,39.0,1,16,0,15,4,free,Keeper,F5CR,long,dominant,none,lost,
19,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,2,43.0,0,17,1,16,-2,free,McCarthy 13,F3CR,direct,dominant,none,point,
20,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,2,45.0,0,18,1,16,-1,sideline,,F5R,short,dominant,none,lost,
21,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,2,52.0,1,19,1,17,2,free,McCarthy 13,F5CR,direct,dominant,none,point,
22,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,2,54.0,1,20,1,17,3,free,McCarthy 13,F2CR,goal,dominant,none,goal,
23,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,2,59.0,2,21,1,17,7,free,McCarthy 13,F3R,direct,dominant,none,point,
24,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,65.0,1,17,3,23,-12,free,7,F5CR,direct,dominant,none,short,
25,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,67.0,1,18,3,23,-11,sideline,,F5R,long,dominant,none,lost,
26,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,2,68.0,3,23,1,18,11,free,McCarthy 13,F5CL,direct,dominant,none,point,
27,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,68.0,1,18,3,24,-12,free,,F5L,long,dominant,none,lost,
28,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,2,69.0,3,24,1,18,12,free,Keeper,F5L,direct,dominant,none,point,
29,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,70.0,1,18,3,25,-13,sideline,,F4L,short,dominant,none,retained,
30,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,70.0,1,18,3,25,-13,sideline,,F3L,short,dominant,none,retained,
31,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,72.0,1,18,3,25,-13,free,,F2CL,goal,dominant,none,saved,
32,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,2,73.0,3,25,1,18,13,free,McCarthy 13,F4L,direct,dominant,none,point,
